time;gFx;gFy;gFz;TgF
0.939662;-0.0071;-0.0090;1.0102;1.010
0.940247;-0.0059;-0.0103;1.0110;1.011
0.940575;-0.0064;-0.0120;1.0117;1.012
0.940896;-0.0068;-0.0112;1.0088;1.009
0.941232;-0.0078;-0.0117;1.0068;1.007
0.944659;-0.0095;-0.0149;1.0056;1.006
0.946266;-0.0098;-0.0156;1.0100;1.010
0.947448;-0.0107;-0.0164;1.0127;1.013
0.948440;-0.0115;-0.0173;1.0166;1.017
0.949855;-0.0117;-0.0178;1.0166;1.017
0.951980;-0.0125;-0.0166;1.0144;1.015
0.953640;-0.0110;-0.0166;1.0095;1.010
0.958645;-0.0107;-0.0161;1.0093;1.009
0.960100;-0.0098;-0.0156;1.0095;1.010
0.960840;-0.0083;-0.0132;1.0117;1.012
0.962276;-0.0098;-0.0132;1.0117;1.012
0.964080;-0.0078;-0.0117;1.0107;1.011
0.965640;-0.0078;-0.0120;1.0100;1.010
0.967842;-0.0090;-0.0120;1.0080;1.008
0.969593;-0.0098;-0.0127;1.0080;1.008
0.971876;-0.0090;-0.0127;1.0075;1.008
0.974974;-0.0086;-0.0127;1.0066;1.007
0.976446;-0.0083;-0.0129;1.0041;1.004
0.977496;-0.0086;-0.0125;1.0039;1.004
0.979949;-0.0098;-0.0139;1.0022;1.002
0.981600;-0.0115;-0.0142;1.0056;1.006
0.983628;-0.0115;-0.0125;1.0066;1.007
0.985645;-0.0132;-0.0110;1.0080;1.008
0.987513;-0.0139;-0.0115;1.0083;1.008
0.989584;-0.0139;-0.0110;1.0063;1.006
0.993289;-0.0144;-0.0112;1.0049;1.005
0.995516;-0.0134;-0.0110;1.0056;1.006
0.997312;-0.0137;-0.0098;1.0088;1.009
0.998164;-0.0151;-0.0110;1.0117;1.012
0.999653;-0.0156;-0.0103;1.0119;1.012
1.001743;-0.0151;-0.0083;1.0102;1.010
1.003705;-0.0127;-0.0086;1.0093;1.009
1.005639;-0.0120;-0.0090;1.0102;1.010
1.008002;-0.0112;-0.0100;1.0107;1.011
1.010027;-0.0100;-0.0095;1.0119;1.012
1.011963;-0.0081;-0.0071;1.0132;1.013
1.013594;-0.0064;-0.0071;1.0117;1.012
1.015694;-0.0051;-0.0066;1.0102;1.010
1.017748;-0.0042;-0.0076;1.0080;1.008
1.019553;-0.0024;-0.0090;1.0061;1.006
1.021348;-0.0022;-0.0098;1.0049;1.005
1.024657;-0.0037;-0.0103;1.0056;1.006
1.025765;-0.0042;-0.0105;1.0105;1.011
1.027316;-0.0024;-0.0105;1.0115;1.012
1.029457;-0.0020;-0.0112;1.0085;1.009
1.031431;-0.0029;-0.0120;1.0080;1.008
1.033499;-0.0044;-0.0149;1.0093;1.009
1.035569;-0.0066;-0.0159;1.0090;1.009
1.037625;-0.0073;-0.0169;1.0083;1.008
1.042381;-0.0095;-0.0173;1.0063;1.007
1.043071;-0.0120;-0.0156;1.0090;1.009
1.043455;-0.0132;-0.0159;1.0105;1.011
1.045469;-0.0142;-0.0156;1.0149;1.015
1.047508;-0.0164;-0.0134;1.0178;1.018
1.049510;-0.0154;-0.0125;1.0181;1.018
1.051359;-0.0142;-0.0103;1.0185;1.019
1.053679;-0.0137;-0.0112;1.0176;1.018
1.055909;-0.0151;-0.0090;1.0107;1.011
1.063969;-0.0151;-0.0078;1.0027;1.003
1.065334;-0.0139;-0.0076;1.0022;1.002
